카테고리,메뉴명,칼로리(kcal),단백질(g),탄수화물(g),지방(g),계산근거
덮밥,2XL 그릴드 비프 덮밥,918,83.7,59.2,36.7,흰쌀밥 180g + 소목살 300g + 로메인 35g + 적근대 35g
덮밥,2XL 그릴드 삼겹 덮밥,1260,65.7,59.2,81.7,흰쌀밥 180g + 삼겹살 300g + 로메인 35g + 적근대 35g
덮밥,2XL 그릴드 치킨 덮밥,765,98.7,59.2,11.5,흰쌀밥 180g + 닭가슴살 300g + 로메인 35g + 적근대 35g
덮밥,2XL 그릴드 치킨렉(닭다리) 덮밥,903,83.7,59.2,35.2,흰쌀밥 180g + 닭다리살 300g + 로메인 35g + 적근대 35g
덮밥,3XL 그릴드 비프 덮밥,1350,135.7,59.2,60.7,흰쌀밥 180g + 소목살 500g + 로메인 35g + 적근대 35g
덮밥,3XL 그릴드 삼겹 덮밥,1920,105.7,59.2,135.7,흰쌀밥 180g + 삼겹살 500g + 로메인 35g + 적근대 35g
덮밥,3XL 그릴드 치킨 덮밥,1095,160.7,59.2,18.7,흰쌀밥 180g + 닭가슴살 500g + 로메인 35g + 적근대 35g
덮밥,3XL 그릴드 치킨렉(닭다리) 덮밥,1325,135.7,59.2,58.2,흰쌀밥 180g + 닭다리살 500g + 로메인 35g + 적근대 35g
덮밥,그릴드 비프 덮밥,702,57.7,59.2,24.7,흰쌀밥 180g + 소목살 200g + 로메인 35g + 적근대 35g
덮밥,그릴드 삼겹 덮밥,930,45.7,59.2,54.7,흰쌀밥 180g + 삼겹살 200g + 로메인 35g + 적근대 35g
덮밥,그릴드 치킨 덮밥,600,67.7,59.2,7.9,흰쌀밥 180g + 닭가슴살 200g + 로메인 35g + 적근대 35g
덮밥,그릴드 치킨렉(닭다리) 덮밥,692,57.7,59.2,23.7,흰쌀밥 180g + 닭다리살 200g + 로메인 35g + 적근대 35g
파스타,2XL 그릴드 비프 파스타,898,87.8,48.8,37.5,듀럼밀 파스타 150g + 소목살 300g + 로메인 35g + 적근대 35g
파스타,2XL 그릴드 삼겹 파스타,1240,69.8,48.8,82.5,듀럼밀 파스타 150g + 삼겹살 300g + 로메인 35g + 적근대 35g
파스타,2XL 그릴드 치킨 파스타,745,102.8,48.8,12.3,듀럼밀 파스타 150g + 닭가슴살 300g + 로메인 35g + 적근대 35g
파스타,2XL 그릴드 치킨렉(닭다리) 파스타,883,87.8,48.8,36.0,듀럼밀 파스타 150g + 닭다리살 300g + 로메인 35g + 적근대 35g
파스타,3XL 그릴드 비프 파스타,1330,139.7,48.8,61.5,듀럼밀 파스타 150g + 소목살 500g + 로메인 35g + 적근대 35g
파스타,3XL 그릴드 삼겹 파스타,1900,109.8,48.8,136.5,듀럼밀 파스타 150g + 삼겹살 500g + 로메인 35g + 적근대 35g
파스타,3XL 그릴드 치킨 파스타,1075,164.7,48.8,19.5,듀럼밀 파스타 150g + 닭가슴살 500g + 로메인 35g + 적근대 35g
파스타,3XL 그릴드 치킨렉(닭다리) 파스타,1305,139.7,48.8,59.0,듀럼밀 파스타 150g + 닭다리살 500g + 로메인 35g + 적근대 35g
